,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
2938,bombay dreams (tour),US-GA-524,38,25,43,66,GA
2939,wicked (tour: emerald city),US-PA-508,39,35,36,47,PA
2940,wicked (tour: emerald city),US-CA-825,28,26,31,100,CA
2941,movin' out (tour),US-TX-635,42,40,24,18,TX
2942,movin' out (tour),US-IL-609,20,20,27,35,IL
2943,avenue q (tour),US-AZ-789,39,42,34,100,AZ
2944,wicked (tour: emerald city),US-MA-521,29,22,27,100,MA
2945,movin' out (tour),US-CO-751,52,29,25,29,CO
2947,movin' out (tour),US-MO-616,37,19,37,81,MO
2948,avenue q (tour),US-KY-529,71,35,25,100,KY
2949,movin' out (tour),US-CA-807,35,29,38,20,CA
2950,wicked (tour: emerald city),US-TX-618,27,24,27,36,TX
2953,avenue q (tour),US-PA-508,23,22,32,71,PA
2954,bombay dreams (tour),US-CA-862,50,42,44,72,CA
2955,wicked (tour: emerald city),US-PA-504,41,37,41,47,PA
2956,wicked (tour: emerald city),US-NY-538,34,50,44,54,NY
2957,bombay dreams (tour),US-CO-751,35,30,38,70,CO
2958,wicked (tour: emerald city),US-IL-609,49,53,39,75,IL
2959,movin' out (tour),US-MA-506,64,53,29,29,MA
2961,movin' out (tour),US-OH-515,32,36,36,50,OH
2962,wicked (tour: emerald city),US-OH-535,30,21,29,58,OH
2964,movin' out (tour),US-FL-528,14,14,25,25,FL
2965,movin' out (tour),US-TX-618,11,24,23,61,TX
2966,avenue q (tour),US-NY-514,45,45,26,40,NY
2967,wicked (tour: emerald city),US-FL-539,27,30,31,37,FL
2969,wicked (tour: emerald city),US-CO-751,35,35,23,65,CO
2972,movin' out (tour),US-PA-504,30,28,47,71,PA
2974,wicked (tour: emerald city),US-OH-510,25,35,39,61,OH
2975,wicked (tour: emerald city),US-NC-517,40,39,33,59,NC
2977,movin' out (tour),US-MA-521,30,48,34,37,MA
2978,wicked (tour: emerald city),US-OK-650,26,38,34,63,OK
2979,avenue q (tour),US-CA-807,13,14,33,77,CA
2980,wicked (tour: emerald city),US-CA-803,28,27,13,48,CA
2981,wicked (tour: emerald city),US-MA-506,82,54,38,92,MA
2982,wicked (tour: emerald city),US-MN-613,36,51,41,80,MN
2983,bombay dreams (tour),US-OH-535,19,30,18,46,OH
2984,avenue q (tour),US-DC-511,36,47,28,15,DC
2986,movin' out (tour),US-OR-820,25,40,26,43,OR
2987,movin' out (tour),US-MN-613,27,31,28,24,MN
2988,bombay dreams (tour),US-TX-623,59,46,31,20,TX
2989,bombay dreams (tour),CA-ON,27,27,25,40,ON
2990,movin' out (tour),US-NC-560,24,26,25,92,NC
2991,wicked (tour: emerald city),CA-ON,25,30,29,70,ON
2992,wicked (tour: emerald city),US-MD-512,20,24,28,76,MD
2993,movin' out (tour),US-IL-602,16,12,22,22,IL
2995,movin' out (tour),US-DC-511,46,36,27,66,DC
2997,wicked (tour: emerald city),US-NC-517,53,41,25,76,NC
2999,avenue q (tour),US-OH-535,26,26,21,46,OH
3000,bombay dreams (tour),US-TX-618,49,43,43,53,TX
3001,avenue q (tour),US-CA-825,43,24,31,50,CA
3004,avenue q (tour),US-WI-617,63,21,33,60,WI
3005,bombay dreams (tour),US-OH-535,37,64,22,49,OH
3006,movin' out (tour),US-GA-524,20,16,26,49,GA
3007,avenue q (tour),US-MO-616,42,28,30,57,MO
3008,movin' out (tour),US-NY-538,28,23,33,51,NY
3009,wicked (tour: emerald city),US-MN-613,31,24,29,40,MN
3010,avenue q (tour),US-MD-512,21,24,23,39,MD
3011,wicked (tour: emerald city),US-DC-511,62,40,20,11,DC
3012,movin' out (tour),US-PA-504,17,34,29,43,PA
3014,movin' out (tour),US-OH-515,15,20,25,46,OH
3016,bombay dreams (tour),US-CA-862,23,23,36,55,CA
3017,movin' out (tour),US-MI-505,37,12,28,40,MI
3019,movin' out (tour),US-WA-819,22,21,28,26,WA
3020,wicked (tour: emerald city),US-OH-535,82,33,28,35,OH
3021,movin' out (tour),US-NV-770,43,8,9,91,NV
3023,wicked (tour: emerald city),US-CA-803,48,17,20,61,CA
3026,movin' out (tour),CA-ON,56,29,22,54,ON
3027,wicked (tour: emerald city),US-NY-538,51,13,7,63,NY
3028,avenue q (tour),US-NC-560,66,12,15,73,NC
3030,avenue q (tour),US-DC-511,66,19,20,69,DC
3031,movin' out (tour),US-NC-560,64,7,15,76,NC
3032,wicked (tour: emerald city),US-OR-820,42,31,25,84,OR
3033,movin' out (tour),US-OR-820,34,17,16,100,OR
3034,bombay dreams (tour),US-CO-751,41,18,15,46,CO
3036,bombay dreams (tour),CA-ON,43,19,14,65,ON
3037,wicked (tour: emerald city),US-MO-616,43,33,19,50,MO
3039,wicked (tour: emerald city),US-NY-514,33,35,16,53,NY
3040,movin' out (tour),US-FL-528,40,9,6,100,FL
3042,movin' out (tour),US-MA-521,30,25,11,27,MA
3043,movin' out (tour),US-TX-618,30,43,20,37,TX
3045,bombay dreams (tour),US-IL-609,32,17,5,37,IL
3050,wicked (tour: emerald city),US-CT-533,36,33,19,83,CT
3051,wicked (tour: emerald city),US-MI-505,90,10,5,72,MI
3052,bombay dreams (tour),US-WA-819,37,21,14,54,WA
3054,avenue q (tour),US-IL-609,53,29,17,38,IL
3056,wicked (tour: emerald city),US-OH-510,33,23,10,15,OH
3057,wicked (tour: emerald city),US-WA-819,46,16,13,28,WA
3062,wicked (tour: emerald city),US-MD-512,47,12,8,47,MD
3067,movin' out (tour),US-IL-609,62,11,10,59,IL
3071,bombay dreams (tour),US-PA-508,36,7,7,100,PA
3072,movin' out (tour),US-DC-511,84,13,8,0,DC
3076,movin' out (tour),US-TX-623,53,25,16,83,TX
