,search_term,geo_code,nyc_opening_engagement,event_engagement,static_engagement,in_town_engagement,state
547,movin' out (tour),US-MI-505,5,7,13,95,MI
548,avenue q (tour),US-CA-807,7,6,13,100,CA
551,avenue q (tour),US-MD-512,6,5,13,100,MD
552,wicked (tour: emerald city),US-MO-616,7,3,8,100,MO
558,wicked (tour: emerald city),US-IL-602,15,7,14,86,IL
559,movin' out (tour),CA-ON,17,11,29,17,ON
562,wicked (tour: san francisco),US-CA-807,4,3,12,90,CA
563,wicked (tour: chicago),US-IL-602,6,4,10,100,IL
566,avenue q (tour),US-MD-512,8,6,15,100,MD
567,movin' out (tour),US-NE-652,4,5,11,60,NE
572,movin' out (tour),US-MO-616,18,6,13,96,MO
576,anything goes,US-SC-567,22,9,15,0,SC
577,wicked (tour: munchkinland),CA-SK,8,2,8,89,SK
578,avenue q (tour),US-MI-563,20,6,12,100,MI
581,fiddler on the roof (tour),US-OR-820,7,5,11,100,OR
583,movin' out (tour),US-TX-635,3,4,11,85,TX
584,bombay dreams (tour),US-PA-508,8,6,13,100,PA
586,movin' out (tour),US-PA-504,6,2,7,80,PA
587,avenue q (tour),US-WI-617,9,4,13,100,WI
595,avenue q (tour),US-OR-820,97,11,6,35,OR
616,wicked (tour: emerald city),US-MI-551,57,31,16,35,MI
618,wicked (tour: emerald city),US-NV-770,86,41,36,80,NV
624,avenue q (tour),US-TX-618,40,38,24,60,TX
628,avenue q (tour),US-KY-529,52,24,15,29,KY
632,wicked (tour: munchkinland),US-TX-623,49,39,27,24,TX
635,avenue q (tour),US-CA-825,21,19,14,100,CA
636,into the woods (tour),US-TX-692,22,17,16,88,TX
637,avenue q (tour),US-NE-652,15,29,25,100,NE
638,avenue q (tour),US-OH-510,18,22,13,100,OH
639,wicked (tour: munchkinland),US-MO-619,13,9,11,84,MO
640,into the woods (tour),US-PA-566,39,36,23,100,PA
641,wicked (tour: munchkinland),US-IL-675,18,23,15,83,IL
642,wicked (tour: munchkinland),US-NY-555,52,32,19,100,NY
643,into the woods (tour),US-OH-510,22,17,17,100,OH
644,movin' out (tour),CA-ON,51,22,17,61,ON
645,avenue q (tour),US-IA-679,35,18,11,100,IA
647,wicked (tour: munchkinland),US-AL-630,20,13,11,100,AL
649,wicked (tour: munchkinland),US-NY-538,22,16,14,85,NY
650,into the woods (tour),US-IN-527,22,12,12,94,IN
651,wicked (tour: munchkinland),CA-MB,26,7,9,100,MB
652,wicked (tour: munchkinland),US-OH-515,12,12,13,100,OH
654,wicked (tour: emerald city),US-PA-508,15,8,9,100,PA
655,wicked (tour: munchkinland),US-DC-511,35,18,10,54,DC
656,wicked (tour: munchkinland),US-MD-512,39,10,7,100,MD
659,into the woods (tour),US-SD-725,73,37,23,80,SD
660,movin' out (tour),US-AZ-753,20,8,8,100,AZ
662,wicked (tour: emerald city),US-FL-534,47,18,17,90,FL
663,wicked (tour: munchkinland),US-FL-571,14,11,11,74,FL
665,movin' out (tour),US-DC-511,17,13,14,100,DC
666,wicked (tour: munchkinland),US-MI-505,30,7,11,100,MI
668,wicked (tour: munchkinland),US-NY-514,11,12,14,95,NY
669,avenue q (tour),US-TX-641,17,6,10,88,TX
671,avenue q (tour),US-SC-567,27,11,8,84,SC
672,wicked (tour: emerald city),US-VA-556,13,5,7,85,VA
674,wicked (tour: munchkinland),US-OH-542,25,3,7,100,OH
677,movin' out (tour),US-GA-524,55,12,11,84,GA
678,wicked (tour: munchkinland),CA-AB,14,12,15,100,AB
680,avenue q (tour),US-FL-528,9,11,11,80,FL
681,wicked (tour: emerald city),US-AZ-753,6,2,8,100,AZ
682,into the woods (tour),US-NY-501,18,5,15,70,NY
683,fiddler on the roof (tour),US-MA-521,10,13,10,100,MA
686,wicked (tour: munchkinland),US-MI-563,29,11,8,100,MI
692,wicked (tour: munchkinland),US-OH-535,44,13,11,100,OH
695,avenue q (tour),US-CO-751,7,4,6,100,CO
697,wicked (tour: munchkinland),US-CT-533,39,27,15,23,CT
700,wicked (tour: emerald city),US-OR-820,50,20,19,76,OR
704,wicked (tour: munchkinland),CA-QC,41,75,24,32,QC
713,avenue q (tour),US-CT-533,50,32,26,100,CT
714,avenue q (tour),CA-ON,33,47,19,100,ON
717,wicked (tour: munchkinland),US-VA-556,91,37,19,26,VA
720,wicked (tour: munchkinland),US-WI-617,99,74,32,28,WI
724,wicked (tour: emerald city),US-AZ-789,93,18,19,21,AZ
733,wicked (tour: emerald city),US-OH-510,16,13,8,100,OH
735,fiddler on the roof (tour),US-OH-510,10,13,10,38,OH
736,wicked (tour: emerald city),US-MN-613,9,9,6,76,MN
737,avenue q (tour),US-PA-504,17,7,8,100,PA
738,movin' out (tour),US-MI-505,25,8,6,100,MI
740,wicked (tour: munchkinland),US-ID-757,31,19,10,100,ID
741,wicked (tour: munchkinland),US-OK-671,80,17,11,89,OK
742,fiddler on the roof (tour),CA-AB,17,8,7,100,AB
743,movin' out (tour),US-CA-825,18,11,6,100,CA
744,fiddler on the roof (tour),US-WI-658,77,26,12,82,WI
746,wicked (tour: emerald city),US-NE-652,34,14,11,100,NE
747,avenue q (tour),US-NY-538,21,14,9,91,NY
749,wicked (tour: munchkinland),US-SC-546,45,20,12,97,SC
751,into the woods (tour),US-IL-609,33,4,2,100,IL
752,wicked (tour: munchkinland),US-LA-622,19,12,6,97,LA
754,fiddler on the roof (tour),US-GA-524,39,21,15,100,GA
757,fiddler on the roof (tour),US-DC-511,10,9,5,100,DC
759,bombay dreams (tour),US-OH-510,24,12,8,100,OH
764,wicked (tour: munchkinland),US-TN-659,44,8,7,0,TN
765,wicked (tour: munchkinland),US-GA-524,24,5,5,100,GA
768,wicked (tour: emerald city),US-CO-751,15,7,3,100,CO
769,avenue q (tour),US-MO-616,46,7,3,100,MO
771,avenue q (tour),US-IN-527,46,32,22,100,IN
772,fiddler on the roof (tour),CA-ON,18,13,9,100,ON
776,wicked (tour: munchkinland),US-WI-658,17,16,9,90,WI
777,wicked (tour: munchkinland),US-CA-803,17,10,6,100,CA
780,bombay dreams (tour),US-NC-517,21,8,7,100,NC
781,wicked (tour: munchkinland),US-CA-866,18,8,4,64,CA
784,wicked (tour: emerald city),US-TX-618,33,5,14,29,TX
789,avenue q (tour),US-MI-551,39,4,8,26,MI
798,avenue q (tour),US-NY-523,72,5,7,0,NY
800,wicked (tour: emerald city),US-FL-539,16,14,19,23,FL
802,wicked (tour: emerald city),US-GA-524,19,19,24,29,GA
803,avenue q (tour),US-WI-669,20,20,25,38,WI
804,avenue q (tour),US-FL-561,36,21,25,45,FL
806,fiddler on the roof (tour),US-WA-819,35,25,26,42,WA
809,movin' out (tour),US-TX-618,15,21,20,51,TX
810,wicked (tour: munchkinland),US-TN-640,41,26,30,42,TN
811,wicked (tour: emerald city),US-DC-511,14,21,26,26,DC
813,wicked (tour: munchkinland),CA-BC,18,16,24,38,BC
816,movin' out (tour),US-CA-803,16,25,21,100,CA
817,fiddler on the roof (tour),US-FL-534,16,15,11,42,FL
818,wicked (tour: emerald city),US-OH-535,5,15,12,68,OH
819,into the woods (tour),US-CA-803,13,21,16,93,CA
820,wicked (tour: emerald city),US-PA-504,43,23,16,49,PA
821,fiddler on the roof (tour),US-FL-539,16,18,14,46,FL
822,wicked (tour: munchkinland),US-OR-801,16,21,14,70,OR
823,wicked (tour: munchkinland),US-SC-567,28,24,16,96,SC
824,fiddler on the roof (tour),US-MN-613,9,13,10,48,MN
825,wicked (tour: emerald city),US-CA-825,16,14,13,85,CA
826,wicked (tour: munchkinland),US-FL-528,22,21,15,88,FL
827,fiddler on the roof (tour),US-MD-512,67,29,19,77,MD
829,wicked (tour: emerald city),US-LA-622,37,17,9,49,LA
830,wicked (tour: munchkinland),US-AR-693,35,23,16,100,AR
831,wicked (tour: munchkinland),US-OH-510,17,16,13,100,OH
832,wicked (tour: emerald city),US-MA-521,17,21,18,54,MA
834,bombay dreams (tour),US-OH-535,24,22,14,100,OH
836,wicked (tour: munchkinland),US-TX-618,59,24,13,62,TX
837,wicked (tour: munchkinland),CA-ON,14,20,14,77,ON
838,wicked (tour: emerald city),US-FL-528,10,14,11,21,FL
839,movin' out (tour),US-CO-751,20,16,11,100,CO
841,wicked (tour: emerald city),US-CA-862,57,30,21,100,CA
842,wicked (tour: munchkinland),US-WA-819,12,23,16,64,WA
843,wicked (tour: munchkinland),US-OH-547,18,37,27,72,OH
847,avenue q (tour),US-DC-511,59,56,48,64,DC
848,wicked (tour: emerald city),US-OH-535,34,27,23,64,OH
850,avenue q (tour),US-MO-616,58,56,49,57,MO
851,wicked (tour: emerald city),US-OR-820,43,26,25,63,OR
852,movin' out (tour),US-MO-616,46,50,47,45,MO
853,bombay dreams (tour),US-FL-539,52,59,41,56,FL
854,avenue q (tour),US-WI-617,41,28,23,43,WI
855,avenue q (tour),US-NC-560,19,34,26,20,NC
856,movin' out (tour),US-OR-820,80,54,44,44,OR
858,movin' out (tour),US-NC-560,38,43,30,34,NC
859,wicked (tour: emerald city),US-OH-510,63,40,29,48,OH
860,avenue q (tour),US-PA-504,43,36,14,14,PA
863,wicked (tour: emerald city),US-MA-521,34,44,40,61,MA
864,avenue q (tour),US-PA-508,73,58,52,94,PA
866,wicked (tour: emerald city),US-PA-508,31,33,26,21,PA
867,movin' out (tour),US-DC-511,23,40,34,59,DC
868,wicked (tour: emerald city),US-MN-613,19,36,36,68,MN
870,wicked (tour: emerald city),US-CA-803,61,49,40,70,CA
871,avenue q (tour),US-CA-807,34,32,27,70,CA
872,avenue q (tour),US-CA-825,21,29,27,82,CA
876,wicked (tour: emerald city),US-TX-623,32,37,30,55,TX
877,wicked (tour: emerald city),US-NY-538,60,45,39,69,NY
878,bombay dreams (tour),CA-ON,59,32,29,66,ON
879,movin' out (tour),US-PA-504,36,37,33,67,PA
880,wicked (tour: emerald city),US-MD-512,46,41,36,96,MD
881,movin' out (tour),US-CA-803,47,60,49,62,CA
882,avenue q (tour),US-MI-551,60,35,36,73,MI
884,movin' out (tour),CA-ON,24,43,41,56,ON
885,wicked (tour: emerald city),US-CA-807,36,52,44,61,CA
886,movin' out (tour),US-FL-528,49,39,33,52,FL
887,avenue q (tour),US-IA-679,19,18,18,39,IA
888,wicked (tour: emerald city),US-GA-524,47,40,38,71,GA
890,bombay dreams (tour),US-PA-508,41,31,32,29,PA
893,avenue q (tour),US-AZ-789,35,26,19,74,AZ
894,avenue q (tour),US-KY-529,78,27,23,96,KY
895,wicked (tour: emerald city),US-MO-616,69,71,79,81,MO
896,wicked (tour: emerald city),US-NY-514,78,74,79,86,NY
897,wicked (tour: emerald city),US-DC-511,75,76,85,94,DC
898,bombay dreams (tour),US-OH-510,43,39,53,89,OH
899,bombay dreams (tour),US-NC-517,72,70,80,88,NC
900,avenue q (tour),US-OH-510,71,74,82,83,OH
901,bombay dreams (tour),US-TX-623,48,67,78,90,TX
903,wicked (tour: emerald city),US-AZ-753,62,68,78,91,AZ
904,avenue q (tour),US-MD-512,69,68,78,100,MD
905,avenue q (tour),US-GA-524,82,71,79,94,GA
906,bombay dreams (tour),US-GA-524,78,61,70,87,GA
907,movin' out (tour),US-NE-652,71,70,80,93,NE
908,bombay dreams (tour),US-OH-535,76,74,81,87,OH
909,wicked (tour: emerald city),US-TX-618,75,78,85,91,TX
910,movin' out (tour),US-MA-521,77,72,79,96,MA
911,avenue q (tour),US-CA-803,70,65,74,76,CA
912,movin' out (tour),US-TX-618,57,55,69,63,TX
913,movin' out (tour),US-TX-623,56,65,76,86,TX
914,movin' out (tour),US-IL-602,63,65,71,73,IL
915,wicked (tour: emerald city),US-MI-551,64,71,81,89,MI
916,avenue q (tour),US-FL-539,60,65,72,76,FL
917,wicked (tour: emerald city),US-MA-506,72,64,67,78,MA
918,avenue q (tour),US-MA-506,62,70,77,91,MA
919,avenue q (tour),US-NY-514,72,71,83,86,NY
920,wicked (tour: emerald city),US-FL-539,65,62,72,100,FL
921,movin' out (tour),US-OH-515,35,43,42,35,OH
922,wicked (tour: emerald city),US-FL-534,39,44,42,39,FL
924,movin' out (tour),US-GA-524,25,22,31,33,GA
926,wicked (tour: emerald city),US-IL-602,16,16,23,17,IL
930,wicked (tour: emerald city),US-OH-515,34,36,41,97,OH
931,wicked (tour: emerald city),US-CO-751,36,34,47,66,CO
932,movin' out (tour),US-NY-538,26,22,33,51,NY
934,wicked (tour: emerald city),US-CA-825,14,13,17,45,CA
935,wicked (tour: emerald city),US-MI-505,34,31,39,86,MI
936,movin' out (tour),US-MN-613,40,40,48,60,MN
937,movin' out (tour),US-MA-506,39,29,34,17,MA
939,avenue q (tour),US-MN-613,20,20,24,20,MN
943,wicked (tour: emerald city),US-CT-533,51,47,53,95,CT
944,wicked (tour: emerald city),CA-ON,20,21,26,94,ON
945,movin' out (tour),US-IL-609,19,27,32,93,IL
946,avenue q (tour),US-WI-617,22,24,23,25,WI
947,wicked (tour: emerald city),US-AZ-753,38,38,48,70,AZ
948,bombay dreams (tour),US-WA-819,20,24,30,94,WA
949,wicked (tour: emerald city),US-MA-506,31,34,41,70,MA
950,bombay dreams (tour),US-PA-508,70,69,49,74,PA
951,wicked (tour: emerald city),US-OR-820,12,18,20,83,OR
952,wicked (tour: emerald city),US-TX-623,15,16,22,17,TX
954,avenue q (tour),US-CA-807,21,20,23,18,CA
955,wicked (tour: emerald city),US-FL-534,13,16,22,94,FL
956,movin' out (tour),US-AZ-753,37,32,41,45,AZ
957,bombay dreams (tour),US-OH-510,9,17,20,88,OH
958,avenue q (tour),US-FL-539,92,79,78,86,FL
959,wicked (tour: emerald city),US-MO-616,72,51,58,94,MO
960,wicked (tour: emerald city),US-OK-650,64,53,60,59,OK
961,movin' out (tour),US-NE-652,25,21,25,91,NE
962,avenue q (tour),US-GA-524,23,26,32,24,GA
963,avenue q (tour),US-MD-512,51,45,45,82,MD
965,wicked (tour: emerald city),US-OH-535,33,28,33,93,OH
966,avenue q (tour),US-OH-535,21,20,23,98,OH
968,wicked (tour: emerald city),US-MN-613,26,23,29,34,MN
970,bombay dreams (tour),US-IL-609,34,33,48,49,IL
971,avenue q (tour),US-DC-511,27,25,29,80,DC
972,movin' out (tour),US-FL-528,24,23,30,68,FL
973,movin' out (tour),US-MI-505,26,31,36,83,MI
975,movin' out (tour),US-GA-524,16,19,22,90,GA
976,movin' out (tour),US-WA-819,61,52,52,68,WA
977,avenue q (tour),US-IL-609,21,24,27,91,IL
978,bombay dreams (tour),US-GA-524,24,25,29,23,GA
979,movin' out (tour),US-PA-504,20,19,23,16,PA
981,movin' out (tour),US-MA-521,53,50,33,23,MA
983,wicked (tour: emerald city),CA-ON,28,24,34,87,ON
984,movin' out (tour),US-MO-616,25,25,34,85,MO
985,movin' out (tour),US-OR-820,27,23,26,57,OR
986,movin' out (tour),US-NC-560,28,34,42,93,NC
987,avenue q (tour),US-MI-551,20,17,23,92,MI
988,avenue q (tour),US-MO-616,13,15,26,65,MO
989,wicked (tour: emerald city),US-OH-510,21,25,28,82,OH
993,wicked (tour: emerald city),US-NY-514,32,29,36,89,NY
994,bombay dreams (tour),US-NC-517,83,79,78,75,NC
995,wicked (tour: emerald city),US-MD-512,22,20,23,86,MD
996,movin' out (tour),US-IL-609,27,21,23,95,IL
997,wicked (tour: emerald city),US-CA-807,16,19,29,81,CA
999,wicked (tour: emerald city),US-PA-504,19,26,32,92,PA
1000,avenue q (tour),US-NC-560,25,27,31,84,NC
1001,wicked (tour: emerald city),US-CT-533,47,40,42,79,CT
1002,wicked (tour: emerald city),US-IL-609,48,49,50,82,IL
1003,wicked (tour: emerald city),US-NC-517,30,38,43,91,NC
1004,avenue q (tour),US-AZ-789,61,44,42,93,AZ
1005,movin' out (tour),US-MN-613,21,25,33,89,MN
1006,avenue q (tour),US-NY-514,55,40,41,94,NY
1007,movin' out (tour),US-OH-515,15,16,19,75,OH
1008,wicked (tour: emerald city),US-GA-524,19,22,30,89,GA
1009,wicked (tour: emerald city),US-MI-505,39,15,8,84,MI
1010,movin' out (tour),US-NY-538,24,10,6,84,NY
1011,avenue q (tour),US-FL-528,22,8,5,100,FL
1012,wicked (tour: emerald city),US-CA-825,23,13,7,100,CA
1013,bombay dreams (tour),US-TX-618,19,14,7,50,TX
1014,wicked (tour: emerald city),US-CO-751,19,16,8,43,CO
1015,avenue q (tour),US-MN-613,25,12,5,86,MN
1016,avenue q (tour),US-CA-803,40,16,7,39,CA
1017,movin' out (tour),US-MA-506,41,20,9,82,MA
1019,wicked (tour: emerald city),US-WA-819,38,17,8,100,WA
1020,avenue q (tour),US-TX-618,26,16,9,100,TX
1021,movin' out (tour),US-CA-807,12,8,5,100,CA
1022,bombay dreams (tour),US-OH-535,25,16,6,7,OH
1025,bombay dreams (tour),US-CA-803,26,17,6,23,CA
1027,wicked (tour: emerald city),US-FL-528,23,14,9,100,FL
1029,avenue q (tour),US-CA-825,15,11,6,100,CA
1031,avenue q (tour),US-NY-538,22,5,7,100,NY
1032,wicked (tour: emerald city),US-TX-618,32,16,13,56,TX
1034,wicked (tour: emerald city),US-MI-551,11,7,7,100,MI
1035,movin' out (tour),US-CA-825,39,15,10,97,CA
1037,wicked (tour: emerald city),US-FL-539,30,20,16,80,FL
1038,movin' out (tour),US-TX-623,39,21,13,100,TX
1039,movin' out (tour),US-DC-511,16,19,16,100,DC
1040,movin' out (tour),US-CO-751,71,26,16,100,CO
1041,bombay dreams (tour),US-CO-751,84,25,23,62,CO
1043,movin' out (tour),US-CA-803,7,8,22,7,CA
1045,movin' out (tour),US-NV-770,29,15,22,11,NV
1046,wicked (tour: emerald city),US-DC-511,8,7,5,69,DC
1047,avenue q (tour),US-MD-512,18,5,6,100,MD
1048,movin' out (tour),US-NE-652,27,16,11,96,NE
1049,wicked (tour: emerald city),US-MI-505,47,18,11,68,MI
1050,bombay dreams (tour),US-NC-517,27,14,10,80,NC
1051,avenue q (tour),US-FL-539,8,9,7,75,FL
1052,bombay dreams (tour),US-IL-609,19,16,12,100,IL
1053,avenue q (tour),US-KY-529,24,16,12,100,KY
1054,movin' out (tour),US-TX-618,20,22,10,98,TX
1055,bombay dreams (tour),US-PA-508,19,9,9,67,PA
1057,movin' out (tour),US-NY-538,9,9,7,91,NY
1060,avenue q (tour),US-DC-511,52,19,12,93,DC
1061,movin' out (tour),US-NV-770,62,34,17,88,NV
1065,bombay dreams (tour),US-CO-751,15,15,10,100,CO
1066,avenue q (tour),US-PA-508,29,14,22,10,PA
1067,avenue q (tour),US-WI-617,6,9,7,85,WI
1069,wicked (tour: emerald city),US-MD-512,28,16,10,91,MD
1071,wicked (tour: emerald city),US-GA-524,18,13,9,82,GA
1072,avenue q (tour),US-NY-514,20,10,9,69,NY
1074,movin' out (tour),US-TX-635,15,5,5,91,TX
1075,avenue q (tour),US-OH-535,46,20,9,37,OH
1076,avenue q (tour),US-NC-560,64,17,7,100,NC
1077,movin' out (tour),US-MO-616,47,21,10,100,MO
1078,avenue q (tour),US-MI-551,24,22,15,94,MI
1080,movin' out (tour),US-PA-504,21,19,11,92,PA
1083,movin' out (tour),US-IL-609,34,12,11,100,IL
1086,avenue q (tour),US-PA-504,79,15,5,98,PA
1087,wicked (tour: emerald city),CA-ON,28,12,9,94,ON
1089,movin' out (tour),CA-ON,88,41,19,100,ON
1090,wicked (tour: emerald city),US-CA-807,51,19,11,99,CA
1091,avenue q (tour),US-MA-506,30,16,17,100,MA
1092,wicked (tour: emerald city),US-OH-535,16,10,11,82,OH
1093,wicked (tour: emerald city),US-FL-534,32,6,15,100,FL
1094,wicked (tour: emerald city),US-OH-510,20,8,20,33,OH
1095,movin' out (tour),US-FL-528,25,16,23,66,FL
1096,wicked (tour: emerald city),US-OH-515,50,9,11,100,OH
1101,movin' out (tour),US-IL-602,49,13,23,73,IL
1104,avenue q (tour),US-CA-825,31,26,30,90,CA
1105,bombay dreams (tour),CA-ON,13,16,18,76,ON
1106,movin' out (tour),US-MI-505,36,18,20,51,MI
1107,wicked (tour: emerald city),US-WA-819,12,7,13,92,WA
1110,avenue q (tour),US-TX-618,29,24,28,72,TX
1113,avenue q (tour),US-NY-538,56,4,8,18,NY
1117,wicked (tour: emerald city),US-MI-551,39,19,29,43,MI
1120,wicked (tour: emerald city),US-MN-613,18,16,28,100,MN
1128,movin' out (tour),US-TX-623,6,4,4,8,TX
1129,bombay dreams (tour),US-TX-618,4,2,4,21,TX
1130,movin' out (tour),US-MA-521,12,8,5,19,MA
1133,movin' out (tour),US-OR-820,19,12,5,1,OR
1139,movin' out (tour),US-NC-560,8,5,5,4,NC
1142,wicked (tour: emerald city),US-CA-803,45,15,7,3,CA
1166,movin' out (tour),US-CA-825,21,5,18,2,CA
1169,bombay dreams (tour),US-CA-862,32,11,12,18,CA
1175,wicked (tour: emerald city),US-NC-517,55,33,25,6,NC
1177,wicked (tour: emerald city),US-FL-528,52,18,24,7,FL
1178,movin' out (tour),US-IL-609,49,9,18,13,IL
1191,avenue q (tour),US-OH-535,36,4,15,5,OH
1199,avenue q (tour),US-GA-524,11,5,17,12,GA
1210,wicked (tour: emerald city),US-IL-609,55,18,11,7,IL
1213,wicked (tour: emerald city),US-CO-751,84,16,9,5,CO
1221,movin' out (tour),US-CO-751,9,6,14,10,CO
1222,avenue q (tour),US-WI-617,20,6,15,28,WI
1224,wicked (tour: emerald city),US-PA-508,44,13,14,6,PA
1232,wicked (tour: emerald city),US-TX-618,14,8,12,5,TX
1233,movin' out (tour),US-PA-504,23,8,14,7,PA
1249,into the woods (tour),US-KY-541,36,23,13,13,KY
1250,wicked (tour: emerald city),CA-ON,67,45,26,17,ON
1253,avenue q (tour),US-SC-567,56,11,17,41,SC
1255,into the woods (tour),US-TX-623,44,26,25,11,TX
1260,avenue q (tour),US-OH-515,73,6,11,14,OH
1264,wicked (tour: los angeles),US-CA-803,43,3,11,55,CA
1265,wicked (tour: emerald city),US-TX-641,23,9,10,16,TX
1273,wicked (tour: emerald city),US-HI-744,32,20,25,56,HI
1276,wicked (tour: emerald city),US-MA-506,44,17,15,10,MA
1277,wicked (tour: munchkinland),US-FL-571,91,18,16,0,FL
1278,wicked (tour: san francisco),US-CA-807,80,41,18,9,CA
1289,wicked (tour: emerald city),US-NY-514,44,4,12,6,NY
1290,into the woods (tour),US-CA-807,68,10,21,4,CA
1304,wicked (tour: emerald city),US-NV-839,84,34,13,11,NV
1310,wicked (tour: munchkinland),US-NV-770,28,5,18,69,NV
1321,wicked (tour: munchkinland),US-AZ-753,7,6,8,100,AZ
1322,fiddler on the roof (tour),CA-AB,5,5,21,30,AB
1323,avenue q (tour),US-AL-630,6,5,7,100,AL
1325,wicked (tour: munchkinland),US-MA-521,10,10,10,100,MA
1327,wicked (tour: emerald city),US-MN-613,13,14,17,75,MN
1328,wicked (tour: munchkinland),US-CA-807,12,11,11,58,CA
1330,wicked (tour: munchkinland),US-MA-506,17,9,8,100,MA
1332,into the woods (tour),US-TX-641,28,21,20,58,TX
1333,fiddler on the roof (tour),US-TN-640,13,18,19,100,TN
1334,avenue q (tour),CA-ON,16,16,11,87,ON
1335,wicked (tour: emerald city),US-WA-819,47,18,10,73,WA
1336,wicked (tour: emerald city),US-IL-675,15,17,18,94,IL
1337,wicked (tour: emerald city),US-TX-765,16,16,14,100,TX
1338,avenue q (tour),US-IL-602,32,12,13,89,IL
1342,anything goes,US-SC-567,8,8,8,100,SC
1345,fiddler on the roof (tour),US-FL-548,14,12,15,99,FL
1346,wicked (tour: emerald city),US-AZ-753,40,10,6,40,AZ
1347,wicked (tour: munchkinland),US-SC-567,21,12,8,100,SC
1350,wicked (tour: emerald city),US-VA-556,12,10,9,20,VA
1354,into the woods (tour),US-DC-511,13,7,11,100,DC
1355,wicked (tour: munchkinland),US-OH-510,34,4,12,100,OH
1359,wicked (tour: munchkinland),US-OK-671,11,9,13,45,OK
1361,wicked (tour: munchkinland),US-ID-757,15,3,5,100,ID
1364,fiddler on the roof (tour),US-WA-881,18,8,9,42,WA
1370,wicked (tour: emerald city),US-OR-820,11,6,7,100,OR
1371,wicked (tour: munchkinland),CA-AB,32,5,5,100,AB
1375,avenue q (tour),US-AR-670,17,10,9,100,AR
1376,wicked (tour: emerald city),US-FL-534,20,22,18,61,FL
1382,into the woods (tour),US-NC-517,8,11,12,63,NC
1387,fiddler on the roof (tour),US-FL-539,10,8,12,91,FL
1390,wicked (tour: munchkinland),US-VA-556,43,11,9,99,VA
1393,wicked (tour: emerald city),US-OH-510,99,7,8,0,OH
1394,wicked (tour: munchkinland),US-MI-563,26,10,9,32,MI
1397,wicked (tour: munchkinland),US-NY-538,25,15,14,87,NY
1406,fiddler on the roof (tour),US-CA-803,32,15,10,33,CA
1407,fiddler on the roof (tour),US-NC-560,34,5,1,100,NC
1419,wicked (tour: emerald city),US-CA-803,37,26,27,84,CA
1423,wicked (tour: munchkinland),US-NY-523,47,20,25,40,NY
1424,wicked (tour: munchkinland),US-NV-839,28,21,7,13,NV
1426,wicked (tour: emerald city),US-IL-602,89,16,17,67,IL
1429,wicked (tour: emerald city),US-OH-515,19,24,24,25,OH
1430,wicked (tour: munchkinland),US-FL-561,49,8,6,0,FL
1432,wicked (tour: munchkinland),US-IA-679,28,19,20,69,IA
1433,fiddler on the roof (tour),US-MD-512,63,13,18,84,MD
1436,fiddler on the roof (tour),US-DE,17,16,17,100,DE
1438,avenue q (tour),US-CA-862,16,17,22,58,CA
1441,avenue q (tour),US-MI-505,39,10,14,47,MI
1442,wicked (tour: munchkinland),US-IL-609,15,17,21,9,IL
1443,into the woods (tour),US-SD-725,9,8,17,49,SD
1444,wicked (tour: munchkinland),US-TN-659,37,9,17,40,TN
1445,wicked (tour: emerald city),US-MA-521,20,13,13,22,MA
1446,into the woods (tour),US-FL-539,18,9,13,15,FL
1448,wicked (tour: munchkinland),US-CA-803,34,12,23,63,CA
1449,fiddler on the roof (tour),US-TX-623,37,15,18,29,TX
1450,wicked (tour: munchkinland),US-TX-635,33,12,12,21,TX
1453,wicked (tour: emerald city),US-NM-790,30,19,15,8,NM
1458,wicked (tour: emerald city),US-NV-770,37,14,25,51,NV
1460,wicked (tour: munchkinland),CA-ON,40,6,8,0,ON
1464,movin' out (tour),US-IL-602,8,10,15,38,IL
1471,bombay dreams (tour),CA-ON,17,13,14,30,ON
1476,avenue q (tour),US-MN-613,52,6,14,93,MN
1479,avenue q (tour),US-NY-514,75,33,21,30,NY
1480,wicked (tour: emerald city),US-MA-521,43,16,22,34,MA
1484,movin' out (tour),US-DC-511,72,26,20,32,DC
1491,avenue q (tour),US-KY-529,35,12,17,66,KY
1494,movin' out (tour),US-OH-515,54,17,11,51,OH
1497,wicked (tour: emerald city),US-GA-524,68,21,10,43,GA
1499,wicked (tour: emerald city),US-OH-515,65,10,12,48,OH
1502,wicked (tour: emerald city),US-FL-528,53,10,10,41,FL
1503,movin' out (tour),US-IL-609,48,11,10,10,IL
1505,wicked (tour: emerald city),US-CA-803,86,6,13,100,CA
1511,bombay dreams (tour),US-WA-819,52,51,51,58,WA
1512,movin' out (tour),US-NE-652,34,30,22,93,NE
1513,avenue q (tour),US-MD-512,33,32,35,100,MD
1514,avenue q (tour),US-GA-524,39,12,12,100,GA
1515,movin' out (tour),US-TX-623,36,34,32,100,TX
1516,bombay dreams (tour),US-OH-510,56,26,23,54,OH
1517,wicked (tour: emerald city),US-OH-535,19,29,29,100,OH
1519,wicked (tour: emerald city),US-MI-551,38,50,48,82,MI
1520,wicked (tour: emerald city),US-MO-616,38,27,13,19,MO
1521,wicked (tour: emerald city),US-MD-512,6,6,6,25,MD
1524,movin' out (tour),CA-ON,9,9,9,6,ON
1525,wicked (tour: emerald city),US-FL-534,32,26,16,83,FL
1526,movin' out (tour),US-AZ-753,8,10,9,100,AZ
1527,bombay dreams (tour),US-PA-508,10,14,10,26,PA
