,Unnamed: 0,city,geo_code,full_code,metro_area_name
166,166,"Charlottesville, VA",584,US-VA-584,Charlottesville VA
167,167,"Newport News, VA",544,US-VA-544,Norfolk-Portsmouth-Newport News VA
168,168,"Danville, KY",541,US-KY-541,Lexington KY
169,169,"Youngstown, OH",536,US-OH-536,Youngstown OH
170,170,"Wallingford, CT",533,US-CT-533,Hartford & New Haven CT
171,171,"Morgantown, WV",598,US-WV-598,Clarksburg-Weston WV
172,172,"Morganton, NC",517,US-NC-517,Charlotte NC
173,173,"Wilmington, NC",550,US-NC-550,Wilmington NC
174,174,"Elmira, NY",565,US-NY-565,Elmira NY
175,175,"Erie, PA",516,US-PA-516,Erie PA
176,176,"Muncie, IN",527,US-IN-527,Indianapolis IN
177,177,"Broken Arrow, OK",671,US-OK-671,Tulsa OK
178,178,"Whitewater, WI",669,US-WI-669,Madison WI
179,179,"Baton Rouge, LA",716,US-LA-716,Baton Rouge LA
180,180,"Galveston, TX",618,US-TX-618,Houston TX
181,181,"Folsom, CA",862,US-CA-862,Sacramento-Stockton-Modesto CA
182,182,"Bakersfield, CA",800,US-CA-800,Bakersfield CA
183,183,"Opelika, AL",522,US-AL-522,Columbus GA
184,184,"Columbus, GA",522,US-GA-522,Columbus GA
185,185,"Montgomery, AL",698,US-AL-698,Montgomery (Selma) AL
186,186,"Oxford, AL",630,US-AL-630,Birgmingham AL
187,187,"Augusta, GA",520,US-GA-520,Augusta GA
188,188,"Athens, GA",524,US-GA-524,Atlanta GA
189,189,"Evansville, IN",649,US-IN-649,Evansville IN
190,190,"Huntington, WV",564,US-WV-564,Charleston-Huntington WV
191,191,"Daytona Beach, FL",534,US-FL-534,Orlando-Daytona Beach-Melbourne FL
192,192,"Savannah, GA",507,US-GA-507,Savannah GA
193,193,"Jackson, MS",718,US-MS-718,Jackson MS
194,194,"University, MS",673,US-MS-673,Columbus-Tupelo-West Point MS
195,195,"Cleveland, MS",647,US-MS-647,Greenwood-Greenville MS
196,196,"Shreveport, LA",612,US-LA-612,Shreveport LA
197,197,"Abilene, TX",662,US-TX-662,Abilene-Sweetwater TX
198,198,"Amarillo, TX",634,US-TX-634,Amarillo TX
199,199,"Springfield, MO",619,US-MO-619,Springfield MO
200,200,"New Philadelphia, OH",510,US-OH-510,Cleveland-Akron (Canton) OH
201,201,"Springfield, OH",542,US-OH-542,Dayton OH
202,202,"Modesto , CA",862,US-CA-862,Sacramento-Stockton-Modesto CA
203,203,"San Luis Obispo, CA",855,US-CA-855,Santa Barbara-Santa Maria-San Luis Obispo CA
204,204,"Midland, MI",513,US-MI-513,Flint-Saginaw-Bay City MI
205,205,"Akron, OH",510,US-OH-510,Cleveland-Akron (Canton) OH
206,206,"Green Bay, WI",658,US-WI-658,Green Bay-Appleton WI
207,207,"Orange Park, FL",561,US-FL-561,Jacksonville FL
208,208,"The Villages, FL",534,US-FL-534,Orlando-Daytona Beach-Melbourne FL
209,209,"Reading, PA",566,US-PA-566,Harrisburg-Lancaster-Lebanon-York PA
210,210,"Owensboro, KY",649,US-KY-649,Evansville IN
211,211,"Charleston, WV",564,US-WV-564,Charleston-Huntington WV
212,212,"Roanoke, VA",573,US-VA-573,Roanoke-Lynchburg VA
213,213,"Lexington, KY",541,US-KY-541,Lexington KY
214,214,"West Lafayette, IN",582,US-IN-582,Lafayette IN
215,215,"Paducah, KY",632,US-KY-632,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
216,216,"Cedar Falls, IA",637,US-IA-637,Cedar Rapids-Waterloo-Iowa City & Dubuque IA
217,217,"La Crosse, WI",702,US-WI-702,La Crosse-Eau Claire WI
218,218,"Manhattan, KS",605,US-KS-605,Topeka KS
219,219,"Kearney, NE",722,US-NE-722,Lincoln & Hastings-Kearney NE
220,220,"Phoenix, AZ",753,US-AZ-753,Phoenix AZ
221,221,"Riverside, CA",803,US-CA-803,Los Angeles CA
222,222,"Bozeman, MT",754,US-MT-754,Butte-Bozeman MT
223,223,"Idaho Falls, ID",758,US-ID-758,Idaho Falls-Pocatello ID
224,224,"Billings, MT",756,US-MT-756,Billings MT
225,225,"Bismarck, ND",687,US-ND-687,Minot-Bismarck-Dickinson(Williston) ND
226,226,"Fargo, ND",724,US-ND-724,Fargo-Valley City ND
227,227,"Casper, WY",767,US-WY-767,Casper-Riverton WY
228,228,"Fort Collins, CO",751,US-CO-751,Denver CO
229,229,"Santa Barbara, CA",855,US-CA-855,Santa Barbara-Santa Maria-San Luis Obispo CA
