,Unnamed: 0,Unnamed: 0.1,tour_descript,city,dates,theatre,city_opening_date,city_closing_date,geo_code,full_code,metro_area_name,year
0,0,0,the lion king (tour: gazelle),"Houston, TX","Jun 27, 2017 - Jul 23, 2017",Hobby Center For The Performing Arts,2017-06-27 00:00:00,2017-07-23 00:00:00,618,US-TX-618,Houston TX,2017
1,1,1,the lion king (tour: gazelle),"Houston, TX","Jul 09, 2012 - Aug 12, 2012",Hobby Center For The Performing Arts,2012-07-09 00:00:00,2012-08-12 00:00:00,618,US-TX-618,Houston TX,2012
3,3,3,the book of mormon (tour: jumamosi),"Houston, TX","Jan 15, 2019 - Jan 20, 2019",Hobby Center For The Performing Arts,2019-01-15 00:00:00,2019-01-20 00:00:00,618,US-TX-618,Houston TX,2017
4,4,4,the book of mormon (tour: jumamosi),"Houston, TX","Jan 03, 2017 - Jan 15, 2017",Hobby Center For The Performing Arts,2017-01-03 00:00:00,2017-01-15 00:00:00,618,US-TX-618,Houston TX,2015
5,5,5,the book of mormon (tour: latter day),"Houston, TX","Jan 20, 2015 - Feb 08, 2015",Hobby Center For The Performing Arts,2015-01-20 00:00:00,2015-02-08 00:00:00,618,US-TX-618,Houston TX,2013
6,6,6,the book of mormon (tour: latter day),"Houston, TX","Sep 03, 2013 - Sep 15, 2013",Hobby Center For The Performing Arts,2013-09-03 00:00:00,2013-09-15 00:00:00,618,US-TX-618,Houston TX,2015
7,7,7,pippin (tour),"Houston, TX","Oct 20, 2015 - Oct 25, 2015",Hobby Center For The Performing Arts,2015-10-20 00:00:00,2015-10-25 00:00:00,618,US-TX-618,Houston TX,2015
8,8,8,rodgers + hammerstein's cinderella (tour),"Houston, TX","May 26, 2015 - Jun 07, 2015",Hobby Center For The Performing Arts,2015-05-26 00:00:00,2015-06-07 00:00:00,618,US-TX-618,Houston TX,2015
11,11,11,jersey boys (tour),"Houston, TX","Feb 07, 2020 - Feb 09, 2020",Hobby Center For The Performing Arts,2020-02-07 00:00:00,2020-02-09 00:00:00,618,US-TX-618,Houston TX,2013
12,12,12,jersey boys (tour),"Houston, TX","Nov 15, 2016 - Nov 20, 2016",Hobby Center For The Performing Arts,2016-11-15 00:00:00,2016-11-20 00:00:00,618,US-TX-618,Houston TX,2015
13,13,13,jersey boys (tour),"Houston, TX","Mar 19, 2013 - Mar 31, 2013",Hobby Center For The Performing Arts,2013-03-19 00:00:00,2013-03-31 00:00:00,618,US-TX-618,Houston TX,2010
14,14,14,once (tour),"Houston, TX","Mar 10, 2015 - Mar 15, 2015",Hobby Center For The Performing Arts,2015-03-10 00:00:00,2015-03-15 00:00:00,618,US-TX-618,Houston TX,2007
15,15,15,wicked (tour: emerald city),"Houston, TX","Jun 29, 2010 - Jul 25, 2010",Hobby Center For The Performing Arts,2010-06-29 00:00:00,2010-07-25 00:00:00,618,US-TX-618,Houston TX,2005
16,16,16,wicked (tour: emerald city),"Houston, TX","Mar 28, 2007 - Apr 15, 2007",Hobby Center For The Performing Arts,2007-03-28 00:00:00,2007-04-15 00:00:00,618,US-TX-618,Houston TX,2016
18,18,18,wicked (tour: munchkinland),"Houston, TX","Jul 06, 2016 - Aug 14, 2016",Hobby Center For The Performing Arts,2016-07-06 00:00:00,2016-08-14 00:00:00,618,US-TX-618,Houston TX,2015
20,20,20,wicked (tour: munchkinland),"Houston, TX","Jun 23, 2021 - Aug 01, 2021",Hobby Center For The Performing Arts,2021-06-23 00:00:00,2021-08-01 00:00:00,618,US-TX-618,Houston TX,2015
21,21,21,motown the musical (tour),"Houston, TX","Jul 21, 2015 - Jul 26, 2015",Hobby Center For The Performing Arts,2015-07-21 00:00:00,2015-07-26 00:00:00,618,US-TX-618,Houston TX,2012
22,22,22,the phantom of the opera (tour),"Houston, TX","Nov 07, 2018 - Nov 18, 2018",Hobby Center For The Performing Arts,2018-11-07 00:00:00,2018-11-18 00:00:00,618,US-TX-618,Houston TX,2015
23,23,23,the phantom of the opera (tour),"Houston, TX","Nov 18, 2015 - Nov 29, 2015",Hobby Center For The Performing Arts,2015-11-18 00:00:00,2015-11-29 00:00:00,618,US-TX-618,Houston TX,2015
24,24,24,million dollar quartet (tour),"Houston, TX","Feb 28, 2012 - Mar 04, 2012",Hobby Center For The Performing Arts,2012-02-28 00:00:00,2012-03-04 00:00:00,618,US-TX-618,Houston TX,2015
25,25,25,matilda the musical (tour),"Houston, TX","Oct 06, 2015 - Oct 18, 2015",Hobby Center For The Performing Arts,2015-10-06 00:00:00,2015-10-18 00:00:00,618,US-TX-618,Houston TX,2019
26,26,26,the illusionists - witness the impossible (tour),"Houston, TX","Jun 02, 2015 - Jun 06, 2015",Jones Hall For The Performing Arts,2015-06-02 00:00:00,2015-06-06 00:00:00,618,US-TX-618,Houston TX,2013
27,27,27,joseph and the amazing technicolor dreamcoat (tour: 2014),"Houston, TX","Mar 17, 2015 - Mar 29, 2015",Hobby Center For The Performing Arts,2015-03-17 00:00:00,2015-03-29 00:00:00,618,US-TX-618,Houston TX,2016
28,28,28,chicago (tour),"Houston, TX","Jun 05, 2019 - Jun 09, 2019",Jones Hall For The Performing Arts,2019-06-05 00:00:00,2019-06-09 00:00:00,618,US-TX-618,Houston TX,2016
29,29,29,chicago (tour),"Houston, TX","Nov 12, 2013 - Nov 17, 2013",Hobby Center For The Performing Arts,2013-11-12 00:00:00,2013-11-17 00:00:00,618,US-TX-618,Houston TX,2016
30,30,30,the bridges of madison county (tour),"Houston, TX","Jan 19, 2016 - Jan 31, 2016",Hobby Center For The Performing Arts,2016-01-19 00:00:00,2016-01-31 00:00:00,618,US-TX-618,Houston TX,2016
31,31,31,the sound of music (tour),"Houston, TX","Feb 16, 2016 - Feb 21, 2016",Hobby Center For The Performing Arts,2016-02-16 00:00:00,2016-02-21 00:00:00,618,US-TX-618,Houston TX,2016
32,32,32,a gentleman's guide to love &amp; murder (tour),"Houston, TX","May 04, 2016 - May 15, 2016",Hobby Center For The Performing Arts,2016-05-04 00:00:00,2016-05-15 00:00:00,618,US-TX-618,Houston TX,2017
33,33,33,beautiful the carole king musical (tour),"Houston, TX","May 31, 2016 - Jun 05, 2016",Hobby Center For The Performing Arts,2016-05-31 00:00:00,2016-06-05 00:00:00,618,US-TX-618,Houston TX,2017
34,34,34,cabaret (tour),"Houston, TX","Mar 22, 2016 - Mar 27, 2016",Hobby Center For The Performing Arts,2016-03-22 00:00:00,2016-03-27 00:00:00,618,US-TX-618,Houston TX,2017
35,35,35,an american in paris (tour),"Houston, TX","Feb 21, 2017 - Mar 05, 2017",Hobby Center For The Performing Arts,2017-02-21 00:00:00,2017-03-05 00:00:00,618,US-TX-618,Houston TX,2017
36,36,36,finding neverland (tour),"Houston, TX","Apr 25, 2017 - Apr 30, 2017",Hobby Center For The Performing Arts,2017-04-25 00:00:00,2017-04-30 00:00:00,618,US-TX-618,Houston TX,2017
37,37,37,the curious incident of the dog in the night-time (tour),"Houston, TX","Jan 24, 2017 - Jan 29, 2017",Hobby Center For The Performing Arts,2017-01-24 00:00:00,2017-01-29 00:00:00,618,US-TX-618,Houston TX,2017
38,38,38,the king and i (tour),"Houston, TX","Mar 14, 2017 - Mar 19, 2017",Hobby Center For The Performing Arts,2017-03-14 00:00:00,2017-03-19 00:00:00,618,US-TX-618,Houston TX,2014
39,39,39,something rotten! (tour),"Houston, TX","Jun 06, 2017 - Jun 11, 2017",Hobby Center For The Performing Arts,2017-06-06 00:00:00,2017-06-11 00:00:00,618,US-TX-618,Houston TX,2013
40,40,40,fun home (tour),"Houston, TX","May 16, 2017 - May 28, 2017",Hobby Center For The Performing Arts,2017-05-16 00:00:00,2017-05-28 00:00:00,618,US-TX-618,Houston TX,2014
41,41,41,evita (tour: 2013),"Houston, TX","May 06, 2014 - May 18, 2014",Hobby Center For The Performing Arts,2014-05-06 00:00:00,2014-05-18 00:00:00,618,US-TX-618,Houston TX,2012
42,42,42,peter and the starcatcher (tour),"Houston, TX","Oct 15, 2013 - Oct 20, 2013",Hobby Center For The Performing Arts,2013-10-15 00:00:00,2013-10-20 00:00:00,618,US-TX-618,Houston TX,2013
43,43,43,war horse (tour),"Houston, TX","May 27, 2014 - Jun 01, 2014",Hobby Center For The Performing Arts,2014-05-27 00:00:00,2014-06-01 00:00:00,618,US-TX-618,Houston TX,2013
44,44,44,fela! (tour),"Houston, TX","Jun 05, 2012 - Jun 10, 2012",Jones Hall For The Performing Arts,2012-06-05 00:00:00,2012-06-10 00:00:00,618,US-TX-618,Houston TX,2012
45,45,45,sister act (tour),"Houston, TX","May 28, 2013 - Jun 02, 2013",Hobby Center For The Performing Arts,2013-05-28 00:00:00,2013-06-02 00:00:00,618,US-TX-618,Houston TX,2009
46,46,46,priscilla queen of the desert (tour),"Houston, TX","Sep 24, 2013 - Oct 13, 2013",Hobby Center For The Performing Arts,2013-09-24 00:00:00,2013-10-13 00:00:00,618,US-TX-618,Houston TX,2012
47,47,47,les misérables (tour: 25th anniversary),"Houston, TX","Nov 06, 2012 - Nov 11, 2012",Hobby Center For The Performing Arts,2012-11-06 00:00:00,2012-11-11 00:00:00,618,US-TX-618,Houston TX,2018
48,48,48,mary poppins (tour),"Houston, TX","Oct 20, 2009 - Nov 08, 2009",Hobby Center For The Performing Arts,2009-10-20 00:00:00,2009-11-08 00:00:00,618,US-TX-618,Houston TX,2019
49,49,49,la cage aux folles (tour),"Houston, TX","Apr 24, 2012 - May 06, 2012",Hobby Center For The Performing Arts,2012-04-24 00:00:00,2012-05-06 00:00:00,618,US-TX-618,Houston TX,2012
50,50,50,hamilton (tour: angelica),"Houston, TX","Apr 24, 2018 - May 20, 2018",Hobby Center For The Performing Arts,2018-04-24 00:00:00,2018-05-20 00:00:00,618,US-TX-618,Houston TX,2012
51,51,51,aladdin (tour),"Houston, TX","Jun 26, 2019 - Jul 14, 2019",Hobby Center For The Performing Arts,2019-06-26 00:00:00,2019-07-14 00:00:00,618,US-TX-618,Houston TX,2008
52,52,52,jekyll &amp; hyde (tour),"Houston, TX","Oct 09, 2012 - Oct 21, 2012",Hobby Center For The Performing Arts,2012-10-09 00:00:00,2012-10-21 00:00:00,618,US-TX-618,Houston TX,2012
53,53,53,the addams family (tour),"Houston, TX","Jan 10, 2012 - Jan 15, 2012",Hobby Center For The Performing Arts,2012-01-10 00:00:00,2012-01-15 00:00:00,618,US-TX-618,Houston TX,2012
54,54,54,jersey boys (tour),"Houston, TX","Jan 15, 2008 - Feb 10, 2008",Hobby Center For The Performing Arts,2008-01-15 00:00:00,2008-02-10 00:00:00,618,US-TX-618,Houston TX,2010
55,55,55,come fly away (tour),"Houston, TX","Apr 10, 2012 - Apr 15, 2012",Hobby Center For The Performing Arts,2012-04-10 00:00:00,2012-04-15 00:00:00,618,US-TX-618,Houston TX,2011
56,56,56,peter pan (tour),"Houston, TX","Dec 11, 2012 - Dec 23, 2012",Hobby Center For The Performing Arts,2012-12-11 00:00:00,2012-12-23 00:00:00,618,US-TX-618,Houston TX,2010
57,57,57,shrek the musical (tour),"Houston, TX","Oct 19, 2010 - Oct 31, 2010",Hobby Center For The Performing Arts,2010-10-19 00:00:00,2010-10-31 00:00:00,618,US-TX-618,Houston TX,2010
58,58,58,west side story (tour),"Houston, TX","Jan 11, 2011 - Jan 23, 2011",Hobby Center For The Performing Arts,2011-01-11 00:00:00,2011-01-23 00:00:00,618,US-TX-618,Houston TX,2013
59,59,59,9 to 5 (tour),"Houston, TX","Nov 09, 2010 - Nov 21, 2010",Hobby Center For The Performing Arts,2010-11-09 00:00:00,2010-11-21 00:00:00,618,US-TX-618,Houston TX,2014
60,60,60,young frankenstein (tour),"Houston, TX","May 25, 2010 - Jun 06, 2010",Hobby Center For The Performing Arts,2010-05-25 00:00:00,2010-06-06 00:00:00,618,US-TX-618,Houston TX,2017
61,61,61,flashdance the musical (tour),"Houston, TX","Jun 04, 2013 - Jun 15, 2013",Hobby Center For The Performing Arts,2013-06-04 00:00:00,2013-06-15 00:00:00,618,US-TX-618,Houston TX,2014
62,62,62,dirty dancing (tour),"Houston, TX","Nov 18, 2014 - Nov 23, 2014",Hobby Center For The Performing Arts,2014-11-18 00:00:00,2014-11-23 00:00:00,618,US-TX-618,Houston TX,2011
63,63,63,the bodyguard (tour),"Houston, TX","Aug 15, 2017 - Aug 20, 2017",Hobby Center For The Performing Arts,2017-08-15 00:00:00,2017-08-20 00:00:00,618,US-TX-618,Houston TX,2012
64,64,64,we will rock you (tour),"Houston, TX","Jan 21, 2014 - Feb 02, 2014",Hobby Center For The Performing Arts,2014-01-21 00:00:00,2014-02-02 00:00:00,618,US-TX-618,Houston TX,2009
65,65,65,memphis (tour),"Houston, TX","Oct 25, 2011 - Oct 30, 2011",Hobby Center For The Performing Arts,2011-10-25 00:00:00,2011-10-30 00:00:00,618,US-TX-618,Houston TX,2008
66,66,66,bring it on the musical (tour),"Houston, TX","Jan 24, 2012 - Feb 05, 2012",Hobby Center For The Performing Arts,2012-01-24 00:00:00,2012-02-05 00:00:00,618,US-TX-618,Houston TX,2009
67,67,67,legally blonde (tour),"Houston, TX","Feb 10, 2009 - Feb 22, 2009",Hobby Center For The Performing Arts,2009-02-10 00:00:00,2009-02-22 00:00:00,618,US-TX-618,Houston TX,2010
68,68,68,sweeney todd (tour),"Houston, TX","Jun 03, 2008 - Jun 15, 2008",Hobby Center For The Performing Arts,2008-06-03 00:00:00,2008-06-15 00:00:00,618,US-TX-618,Houston TX,2008
69,69,69,grease (tour),"Houston, TX","Sep 08, 2009 - Sep 20, 2009",Hobby Center For The Performing Arts,2009-09-08 00:00:00,2009-09-20 00:00:00,618,US-TX-618,Houston TX,2011
70,70,70,south pacific (tour),"Houston, TX","Mar 09, 2010 - Mar 21, 2010",Hobby Center For The Performing Arts,2010-03-09 00:00:00,2010-03-21 00:00:00,618,US-TX-618,Houston TX,2010
71,71,71,frost/nixon (tour),"Houston, TX","Oct 21, 2008 - Nov 02, 2008",Hobby Center For The Performing Arts,2008-10-21 00:00:00,2008-11-02 00:00:00,618,US-TX-618,Houston TX,2011
72,72,72,rock of ages (tour),"Houston, TX","May 31, 2011 - Jun 12, 2011",Hobby Center For The Performing Arts,2011-05-31 00:00:00,2011-06-12 00:00:00,618,US-TX-618,Houston TX,2009
73,73,73,little house on the prairie (tour),"Houston, TX","Apr 27, 2010 - May 09, 2010",Hobby Center For The Performing Arts,2010-04-27 00:00:00,2010-05-09 00:00:00,618,US-TX-618,Houston TX,2010
74,74,74,billy elliot: the musical (tour),"Houston, TX","Feb 23, 2011 - Mar 13, 2011",Hobby Center For The Performing Arts,2011-02-23 00:00:00,2011-03-13 00:00:00,618,US-TX-618,Houston TX,2011
75,75,75,fiddler on the roof (tour),"Houston, TX","May 26, 2009 - Jun 07, 2009",Hobby Center For The Performing Arts,2009-05-26 00:00:00,2009-06-07 00:00:00,618,US-TX-618,Houston TX,2007
76,76,76,in the heights (tour),"Houston, TX","Apr 06, 2010 - Apr 18, 2010",Hobby Center For The Performing Arts,2010-04-06 00:00:00,2010-04-18 00:00:00,618,US-TX-618,Houston TX,2005
77,77,77,mamma mia! (tour: second national),"Houston, TX","May 10, 2011 - May 15, 2011",Hobby Center For The Performing Arts,2011-05-10 00:00:00,2011-05-15 00:00:00,618,US-TX-618,Houston TX,2009
78,78,78,mamma mia! (tour: second national),"Houston, TX","Sep 25, 2007 - Sep 30, 2007",Hobby Center For The Performing Arts,2007-09-25 00:00:00,2007-09-30 00:00:00,618,US-TX-618,Houston TX,2009
79,79,79,mamma mia! (tour: second national),"Houston, TX","Mar 22, 2005 - Mar 27, 2005",Jones Hall For The Performing Arts,2005-03-22 00:00:00,2005-03-27 00:00:00,618,US-TX-618,Houston TX,2011
81,81,81,rent (tour: mark),"Houston, TX","Apr 28, 2009 - May 03, 2009",Hobby Center For The Performing Arts,2009-04-28 00:00:00,2009-05-03 00:00:00,618,US-TX-618,Houston TX,2009
82,82,82,chitty chitty bang bang (tour),"Houston, TX","Feb 24, 2009 - Mar 08, 2009",Hobby Center For The Performing Arts,2009-02-24 00:00:00,2009-03-08 00:00:00,618,US-TX-618,Houston TX,2008
83,83,83,chicago (tour),"Houston, TX","Jun 21, 2011 - Jun 26, 2011",Brown Theater,2011-06-21 00:00:00,2011-06-26 00:00:00,618,US-TX-618,Houston TX,2009
84,84,84,a chorus line (tour),"Houston, TX","Jan 05, 2010 - Jan 17, 2010",Hobby Center For The Performing Arts,2010-01-05 00:00:00,2010-01-17 00:00:00,618,US-TX-618,Houston TX,2009
85,85,85,the color purple (tour),"Houston, TX","Aug 18, 2009 - Aug 23, 2009",Hobby Center For The Performing Arts,2009-08-18 00:00:00,2009-08-23 00:00:00,618,US-TX-618,Houston TX,2008
86,86,86,the color purple (tour),"Houston, TX","Sep 23, 2008 - Sep 28, 2008",Hobby Center For The Performing Arts,2008-09-23 00:00:00,2008-09-28 00:00:00,618,US-TX-618,Houston TX,2007
87,87,87,spring awakening (tour),"Houston, TX","Jan 06, 2009 - Jan 18, 2009",Hobby Center For The Performing Arts,2009-01-06 00:00:00,2009-01-18 00:00:00,618,US-TX-618,Houston TX,2006
88,88,88,a bronx tale (tour),"Houston, TX","Feb 03, 2009 - Feb 08, 2009",Hobby Center For The Performing Arts,2009-02-03 00:00:00,2009-02-08 00:00:00,618,US-TX-618,Houston TX,2006
89,89,89,the drowsy chaperone (tour),"Houston, TX","May 20, 2008 - Jun 01, 2008",Hobby Center For The Performing Arts,2008-05-20 00:00:00,2008-06-01 00:00:00,618,US-TX-618,Houston TX,2007
90,90,90,twelve angry men (tour),"Houston, TX","Feb 13, 2007 - Feb 25, 2007",Hobby Center For The Performing Arts,2007-02-13 00:00:00,2007-02-25 00:00:00,618,US-TX-618,Houston TX,2007
91,91,91,the lion king (tour: cheetah),"Houston, TX","Jul 03, 2006 - Aug 13, 2006",Hobby Center For The Performing Arts,2006-07-03 00:00:00,2006-08-13 00:00:00,618,US-TX-618,Houston TX,2006
92,92,92,golda's balcony (tour),"Houston, TX","Mar 28, 2006 - Apr 09, 2006",Hobby Center For The Performing Arts,2006-03-28 00:00:00,2006-04-09 00:00:00,618,US-TX-618,Houston TX,2006
93,93,93,avenue q (tour),"Houston, TX","Oct 23, 2007 - Nov 04, 2007",Hobby Center For The Performing Arts,2007-10-23 00:00:00,2007-11-04 00:00:00,618,US-TX-618,Houston TX,2006
94,94,94,spamalot (tour),"Houston, TX","May 22, 2007 - Jun 17, 2007",Hobby Center For The Performing Arts,2007-05-22 00:00:00,2007-06-17 00:00:00,618,US-TX-618,Houston TX,2006
95,95,95,dirty rotten scoundrels (tour),"Houston, TX","Sep 19, 2006 - Oct 01, 2006",Hobby Center For The Performing Arts,2006-09-19 00:00:00,2006-10-01 00:00:00,618,US-TX-618,Houston TX,2007
97,97,97,doctor dolittle (tour: 2006),"Houston, TX","Jan 17, 2006 - Jan 29, 2006",Hobby Center For The Performing Arts,2006-01-17 00:00:00,2006-01-29 00:00:00,618,US-TX-618,Houston TX,2006
98,98,98,bombay dreams (tour),"Houston, TX","May 23, 2006 - Jun 04, 2006",Hobby Center For The Performing Arts,2006-05-23 00:00:00,2006-06-04 00:00:00,618,US-TX-618,Houston TX,2005
99,99,99,brooklyn (tour),"Houston, TX","Jul 18, 2006 - Jul 23, 2006",Miller Outdoor Theatre,2006-07-18 00:00:00,2006-07-23 00:00:00,618,US-TX-618,Houston TX,2005
100,100,100,sweet charity (tour),"Houston, TX","Jun 26, 2007 - Jul 08, 2007",Hobby Center For The Performing Arts,2007-06-26 00:00:00,2007-07-08 00:00:00,618,US-TX-618,Houston TX,2007
101,101,101,all shook up (tour),"Houston, TX","Nov 07, 2006 - Nov 19, 2006",Hobby Center For The Performing Arts,2006-11-07 00:00:00,2006-11-19 00:00:00,618,US-TX-618,Houston TX,2005
102,102,102,annie (tour),"Houston, TX","Jan 03, 2006 - Jan 15, 2006",Hobby Center For The Performing Arts,2006-01-03 00:00:00,2006-01-15 00:00:00,618,US-TX-618,Houston TX,2008
103,103,103,movin' out (tour),"Houston, TX","Apr 19, 2005 - Apr 24, 2005",Jones Hall For The Performing Arts,2005-04-19 00:00:00,2005-04-24 00:00:00,618,US-TX-618,Houston TX,2004
104,104,104,movin' out (tour),"Houston, TX","Apr 12, 2005 - Apr 17, 2005",Hobby Center For The Performing Arts,2005-04-12 00:00:00,2005-04-17 00:00:00,618,US-TX-618,Houston TX,2004
105,105,105,whistle down the wind (tour),"Houston, TX","Sep 09, 2007 - Sep 23, 2007",Hobby Center For The Performing Arts,2007-09-09 00:00:00,2007-09-23 00:00:00,618,US-TX-618,Houston TX,2005
106,106,106,little shop of horrors (tour),"Houston, TX","Jan 03, 2005 - Jan 16, 2005",Hobby Center For The Performing Arts,2005-01-03 00:00:00,2005-01-16 00:00:00,618,US-TX-618,Houston TX,2005
108,108,108,the 25th annual putnam county spelling bee (tour),"Houston, TX","Mar 25, 2008 - Apr 06, 2008",Hobby Center For The Performing Arts,2008-03-25 00:00:00,2008-04-06 00:00:00,618,US-TX-618,Houston TX,2004
109,109,109,hairspray (tour),"Houston, TX","Nov 09, 2004 - Nov 21, 2004",Hobby Center For The Performing Arts,2004-11-09 00:00:00,2004-11-21 00:00:00,618,US-TX-618,Houston TX,2009
111,111,111,the producers (tour: max),"Houston, TX","Feb 03, 2004 - Feb 22, 2004",Hobby Center For The Performing Arts,2004-02-03 00:00:00,2004-02-22 00:00:00,618,US-TX-618,Houston TX,2005
113,113,113,on the record (tour),"Houston, TX","May 31, 2005 - Jun 12, 2005",Hobby Center For The Performing Arts,2005-05-31 00:00:00,2005-06-12 00:00:00,618,US-TX-618,Houston TX,2004
115,115,115,the king and i (tour: 2004),"Houston, TX","Mar 14, 2005 - Apr 03, 2005",Hobby Center For The Performing Arts,2005-03-14 00:00:00,2005-04-03 00:00:00,618,US-TX-618,Houston TX,2005
118,118,118,urinetown (tour),"Houston, TX","Mar 30, 2004 - Apr 11, 2004",Hobby Center For The Performing Arts,2004-03-30 00:00:00,2004-04-11 00:00:00,618,US-TX-618,Houston TX,2019
119,119,119,flower drum song (tour),"Houston, TX","Jan 15, 2004 - Feb 01, 2004",Hobby Center For The Performing Arts,2004-01-15 00:00:00,2004-02-01 00:00:00,618,US-TX-618,Houston TX,2017
120,120,120,happy days (tour),"Houston, TX","May 12, 2009 - May 24, 2009",Hobby Center For The Performing Arts,2009-05-12 00:00:00,2009-05-24 00:00:00,618,US-TX-618,Houston TX,2018
121,121,121,jesus christ superstar (tour),"Houston, TX","Dec 21, 2004 - Dec 26, 2004",Hobby Center For The Performing Arts,2004-12-21 00:00:00,2004-12-26 00:00:00,618,US-TX-618,Houston TX,2018
122,122,122,evita (tour: 2004),"Houston, TX","Sep 20, 2005 - Oct 02, 2005",Hobby Center For The Performing Arts,2005-09-20 00:00:00,2005-10-02 00:00:00,618,US-TX-618,Houston TX,2018
123,123,123,big river (tour),"Houston, TX","Jul 12, 2004 - Jul 18, 2004",Miller Outdoor Theatre,2004-07-12 00:00:00,2004-07-18 00:00:00,618,US-TX-618,Houston TX,2017
150,150,150,the phantom of the opera (tour: music box),"Houston, TX","Jul 07, 2009 - Aug 02, 2009",Hobby Center For The Performing Arts,2009-07-07 00:00:00,2009-08-02 00:00:00,618,US-TX-618,Houston TX,2016
151,151,151,the phantom of the opera (tour: music box),"Houston, TX","Jul 06, 2005 - Jul 31, 2005",Hobby Center For The Performing Arts,2005-07-06 00:00:00,2005-07-31 00:00:00,618,US-TX-618,Houston TX,2019
156,156,156,chicago (tour),"Houston, TX","Oct 11, 2005 - Oct 23, 2005",Hobby Center For The Performing Arts,2005-10-11 00:00:00,2005-10-23 00:00:00,618,US-TX-618,Houston TX,2017
160,160,160,les misérables (tour: third national),"Houston, TX","Feb 22, 2005 - Mar 06, 2005",Hobby Center For The Performing Arts,2005-02-22 00:00:00,2005-03-06 00:00:00,618,US-TX-618,Houston TX,2016
202,202,202,waitress (tour),"Houston, TX","Jan 29, 2019 - Feb 03, 2019",Hobby Center For The Performing Arts,2019-01-29 00:00:00,2019-02-03 00:00:00,618,US-TX-618,Houston TX,2004
203,203,203,on your feet! (tour),"Houston, TX","Nov 21, 2017 - Nov 26, 2017",Hobby Center For The Performing Arts,2017-11-21 00:00:00,2017-11-26 00:00:00,618,US-TX-618,Houston TX,2004
213,213,213,school of rock – the musical (tour),"Houston, TX","Jan 30, 2018 - Feb 04, 2018",Hobby Center For The Performing Arts,2018-01-30 00:00:00,2018-02-04 00:00:00,618,US-TX-618,Houston TX,2018
215,215,215,love never dies (tour),"Houston, TX","Jul 17, 2018 - Jul 22, 2018",Hobby Center For The Performing Arts,2018-07-17 00:00:00,2018-07-22 00:00:00,618,US-TX-618,Houston TX,2019
216,216,216,les misérables (tour),"Houston, TX","Sep 25, 2018 - Sep 30, 2018",Hobby Center For The Performing Arts,2018-09-25 00:00:00,2018-09-30 00:00:00,618,US-TX-618,Houston TX,2019
219,219,219,escape to margaritaville (tour),"Houston, TX","Oct 30, 2017 - Nov 05, 2017",Hobby Center For The Performing Arts,2017-10-30 00:00:00,2017-11-05 00:00:00,618,US-TX-618,Houston TX,2019
221,221,221,the color purple (tour),"Houston, TX","Jan 09, 2018 - Jan 14, 2018",Hobby Center For The Performing Arts,2018-01-09 00:00:00,2018-01-14 00:00:00,618,US-TX-618,Houston TX,2018
241,241,241,come from away (tour),"Houston, TX","Mar 03, 2020 - Mar 08, 2020",Hobby Center For The Performing Arts,2020-03-03 00:00:00,2020-03-08 00:00:00,618,US-TX-618,Houston TX,2014
242,242,242,the play that goes wrong (tour),"Houston, TX","Mar 26, 2019 - Mar 31, 2019",Hobby Center For The Performing Arts,2019-03-26 00:00:00,2019-03-31 00:00:00,618,US-TX-618,Houston TX,2014
244,244,244,cats (tour),"Houston, TX","Oct 22, 2019 - Oct 27, 2019",Hobby Center For The Performing Arts,2019-10-22 00:00:00,2019-10-27 00:00:00,618,US-TX-618,Houston TX,2017
261,261,261,the band's visit (tour),"Houston, TX","Jan 28, 2020 - Feb 02, 2020",Hobby Center For The Performing Arts,2020-01-28 00:00:00,2020-02-02 00:00:00,618,US-TX-618,Houston TX,2009
267,267,267,mean girls (tour),"Houston, TX","Mar 16, 2021 - Mar 21, 2021",Hobby Center For The Performing Arts,2021-03-16 00:00:00,2021-03-21 00:00:00,618,US-TX-618,Houston TX,2017
270,270,270,to kill a mockingbird (tour),"Houston, TX","Feb 23, 2021 - Feb 28, 2021",Hobby Center For The Performing Arts,2021-02-23 00:00:00,2021-02-28 00:00:00,618,US-TX-618,Houston TX,2019
271,271,271,my fair lady (tour),"Houston, TX","Sep 14, 2021 - Sep 19, 2021",Hobby Center For The Performing Arts,2021-09-14 00:00:00,2021-09-19 00:00:00,618,US-TX-618,Houston TX,2019
277,277,277,once on this island (tour),"Houston, TX","Feb 18, 2020 - Mar 01, 2020",Hobby Center For The Performing Arts,2020-02-18 00:00:00,2020-03-01 00:00:00,618,US-TX-618,Houston TX,2019
289,289,289,hadestown (tour),"Houston, TX","Jun 08, 2021 - Jun 13, 2021",Hobby Center For The Performing Arts,2021-06-08 00:00:00,2021-06-13 00:00:00,618,US-TX-618,Houston TX,2014
300,300,300,the lion king (tour: gazelle),"Greenville, SC","May 31, 2017 - Jun 25, 2017",Peace Center For The Performing Arts,2017-05-31 00:00:00,2017-06-25 00:00:00,567,US-SC-567,"Greenville-Spartanburg SC-Asheville NC-Anderson SC,",2015
304,304,304,the book of mormon (tour: jumamosi),"Greenville, SC","Nov 11, 2014 - Nov 16, 2014",Peace Center For The Performing Arts,2014-11-11 00:00:00,2014-11-16 00:00:00,567,US-SC-567,"Greenville-Spartanburg SC-Asheville NC-Anderson SC,",2018
