,date,frequency,search_term,geo_code
87,2014-03-23 00:00:00,20,Cabaret,US-AZ-789
88,2014-03-30 00:00:00,40,Cabaret,US-AZ-789
89,2014-04-06 00:00:00,0,Cabaret,US-AZ-789
90,2014-04-13 00:00:00,29,Cabaret,US-AZ-789
91,2014-04-20 00:00:00,40,Cabaret,US-AZ-789
92,2014-04-27 00:00:00,40,Cabaret,US-AZ-789
93,2014-05-04 00:00:00,20,Cabaret,US-AZ-789
94,2014-05-11 00:00:00,63,Cabaret,US-AZ-789
95,2014-05-18 00:00:00,24,Cabaret,US-AZ-789
96,2014-05-25 00:00:00,0,Cabaret,US-AZ-789
97,2014-06-01 00:00:00,25,Cabaret,US-AZ-789
98,2014-06-08 00:00:00,25,Cabaret,US-AZ-789
99,2014-06-15 00:00:00,26,Cabaret,US-AZ-789
100,2014-06-22 00:00:00,26,Cabaret,US-AZ-789
101,2014-06-29 00:00:00,0,Cabaret,US-AZ-789
102,2014-07-06 00:00:00,51,Cabaret,US-AZ-789
103,2014-07-13 00:00:00,0,Cabaret,US-AZ-789
104,2014-07-20 00:00:00,0,Cabaret,US-AZ-789
105,2014-07-27 00:00:00,38,Cabaret,US-AZ-789
106,2014-08-03 00:00:00,0,Cabaret,US-AZ-789
107,2014-08-10 00:00:00,0,Cabaret,US-AZ-789
108,2014-08-17 00:00:00,0,Cabaret,US-AZ-789
109,2014-08-24 00:00:00,0,Cabaret,US-AZ-789
110,2014-08-31 00:00:00,23,Cabaret,US-AZ-789
111,2014-09-07 00:00:00,22,Cabaret,US-AZ-789
112,2014-09-14 00:00:00,42,Cabaret,US-AZ-789
113,2014-09-21 00:00:00,44,Cabaret,US-AZ-789
114,2014-09-28 00:00:00,23,Cabaret,US-AZ-789
115,2014-10-05 00:00:00,0,Cabaret,US-AZ-789
116,2014-10-12 00:00:00,23,Cabaret,US-AZ-789
117,2014-10-19 00:00:00,0,Cabaret,US-AZ-789
118,2014-10-26 00:00:00,34,Cabaret,US-AZ-789
119,2014-11-02 00:00:00,22,Cabaret,US-AZ-789
120,2014-11-09 00:00:00,0,Cabaret,US-AZ-789
121,2014-11-16 00:00:00,45,Cabaret,US-AZ-789
122,2014-11-23 00:00:00,0,Cabaret,US-AZ-789
123,2014-11-30 00:00:00,0,Cabaret,US-AZ-789
124,2014-12-07 00:00:00,22,Cabaret,US-AZ-789
125,2014-12-14 00:00:00,23,Cabaret,US-AZ-789
126,2014-12-21 00:00:00,28,Cabaret,US-AZ-789
127,2014-12-28 00:00:00,25,Cabaret,US-AZ-789
128,2015-01-04 00:00:00,23,Cabaret,US-AZ-789
129,2015-01-11 00:00:00,22,Cabaret,US-AZ-789
130,2015-01-18 00:00:00,32,Cabaret,US-AZ-789
131,2015-01-25 00:00:00,0,Cabaret,US-AZ-789
132,2015-02-01 00:00:00,20,Cabaret,US-AZ-789
133,2015-02-08 00:00:00,20,Cabaret,US-AZ-789
134,2015-02-15 00:00:00,0,Cabaret,US-AZ-789
135,2015-02-22 00:00:00,0,Cabaret,US-AZ-789
136,2015-03-01 00:00:00,31,Cabaret,US-AZ-789
137,2015-03-08 00:00:00,0,Cabaret,US-AZ-789
138,2015-03-15 00:00:00,0,Cabaret,US-AZ-789
139,2015-03-22 00:00:00,0,Cabaret,US-AZ-789
140,2015-03-29 00:00:00,0,Cabaret,US-AZ-789
141,2015-04-05 00:00:00,0,Cabaret,US-AZ-789
142,2015-04-12 00:00:00,30,Cabaret,US-AZ-789
143,2015-04-19 00:00:00,41,Cabaret,US-AZ-789
144,2015-04-26 00:00:00,30,Cabaret,US-AZ-789
145,2015-05-03 00:00:00,20,Cabaret,US-AZ-789
146,2015-05-10 00:00:00,21,Cabaret,US-AZ-789
147,2015-05-17 00:00:00,0,Cabaret,US-AZ-789
148,2015-05-24 00:00:00,47,Cabaret,US-AZ-789
149,2015-05-31 00:00:00,23,Cabaret,US-AZ-789
150,2015-06-07 00:00:00,23,Cabaret,US-AZ-789
151,2015-06-14 00:00:00,0,Cabaret,US-AZ-789
152,2015-06-21 00:00:00,23,Cabaret,US-AZ-789
153,2015-06-28 00:00:00,24,Cabaret,US-AZ-789
154,2015-07-05 00:00:00,24,Cabaret,US-AZ-789
155,2015-07-12 00:00:00,35,Cabaret,US-AZ-789
156,2015-07-19 00:00:00,0,Cabaret,US-AZ-789
157,2015-07-26 00:00:00,45,Cabaret,US-AZ-789
158,2015-08-02 00:00:00,0,Cabaret,US-AZ-789
159,2015-08-09 00:00:00,0,Cabaret,US-AZ-789
160,2015-08-16 00:00:00,0,Cabaret,US-AZ-789
161,2015-08-23 00:00:00,41,Cabaret,US-AZ-789
162,2015-08-30 00:00:00,0,Cabaret,US-AZ-789
163,2015-09-06 00:00:00,0,Cabaret,US-AZ-789
164,2015-09-13 00:00:00,0,Cabaret,US-AZ-789
165,2015-09-20 00:00:00,59,Cabaret,US-AZ-789
166,2015-09-27 00:00:00,20,Cabaret,US-AZ-789
167,2015-10-04 00:00:00,0,Cabaret,US-AZ-789
168,2015-10-11 00:00:00,20,Cabaret,US-AZ-789
169,2015-10-18 00:00:00,20,Cabaret,US-AZ-789
170,2015-10-25 00:00:00,20,Cabaret,US-AZ-789
171,2015-11-01 00:00:00,40,Cabaret,US-AZ-789
172,2015-11-08 00:00:00,21,Cabaret,US-AZ-789
173,2015-11-15 00:00:00,40,Cabaret,US-AZ-789
174,2015-11-22 00:00:00,22,Cabaret,US-AZ-789
175,2015-11-29 00:00:00,0,Cabaret,US-AZ-789
176,2015-12-06 00:00:00,29,Cabaret,US-AZ-789
177,2015-12-13 00:00:00,20,Cabaret,US-AZ-789
178,2015-12-20 00:00:00,25,Cabaret,US-AZ-789
179,2015-12-27 00:00:00,0,Cabaret,US-AZ-789
180,2016-01-03 00:00:00,17,Cabaret,US-AZ-789
181,2016-01-10 00:00:00,0,Cabaret,US-AZ-789
182,2016-01-17 00:00:00,51,Cabaret,US-AZ-789
183,2016-01-24 00:00:00,16,Cabaret,US-AZ-789
184,2016-01-31 00:00:00,16,Cabaret,US-AZ-789
185,2016-02-07 00:00:00,48,Cabaret,US-AZ-789
186,2016-02-14 00:00:00,32,Cabaret,US-AZ-789
187,2016-02-21 00:00:00,0,Cabaret,US-AZ-789
188,2016-02-28 00:00:00,0,Cabaret,US-AZ-789
189,2016-03-06 00:00:00,41,Cabaret,US-AZ-789
190,2016-03-13 00:00:00,36,Cabaret,US-AZ-789
191,2016-03-20 00:00:00,17,Cabaret,US-AZ-789
192,2016-03-27 00:00:00,34,Cabaret,US-AZ-789
193,2016-04-03 00:00:00,33,Cabaret,US-AZ-789
194,2016-04-10 00:00:00,25,Cabaret,US-AZ-789
195,2016-04-17 00:00:00,17,Cabaret,US-AZ-789
196,2016-04-24 00:00:00,16,Cabaret,US-AZ-789
197,2016-05-01 00:00:00,16,Cabaret,US-AZ-789
198,2016-05-08 00:00:00,17,Cabaret,US-AZ-789
199,2016-05-15 00:00:00,54,Cabaret,US-AZ-789
200,2016-05-22 00:00:00,19,Cabaret,US-AZ-789
201,2016-05-29 00:00:00,19,Cabaret,US-AZ-789
202,2016-06-05 00:00:00,36,Cabaret,US-AZ-789
203,2016-06-12 00:00:00,18,Cabaret,US-AZ-789
204,2016-06-19 00:00:00,46,Cabaret,US-AZ-789
205,2016-06-26 00:00:00,37,Cabaret,US-AZ-789
206,2016-07-03 00:00:00,0,Cabaret,US-AZ-789
207,2016-07-10 00:00:00,0,Cabaret,US-AZ-789
208,2016-07-17 00:00:00,19,Cabaret,US-AZ-789
209,2016-07-24 00:00:00,18,Cabaret,US-AZ-789
210,2016-07-31 00:00:00,28,Cabaret,US-AZ-789
211,2016-08-07 00:00:00,0,Cabaret,US-AZ-789
212,2016-08-14 00:00:00,29,Cabaret,US-AZ-789
213,2016-08-21 00:00:00,18,Cabaret,US-AZ-789
214,2016-08-28 00:00:00,34,Cabaret,US-AZ-789
215,2016-09-04 00:00:00,34,Cabaret,US-AZ-789
216,2016-09-11 00:00:00,17,Cabaret,US-AZ-789
217,2016-09-18 00:00:00,100,Cabaret,US-AZ-789
218,2016-09-25 00:00:00,67,Cabaret,US-AZ-789
219,2016-10-02 00:00:00,0,Cabaret,US-AZ-789
220,2016-10-09 00:00:00,17,Cabaret,US-AZ-789
221,2016-10-16 00:00:00,17,Cabaret,US-AZ-789
222,2016-10-23 00:00:00,0,Cabaret,US-AZ-789
223,2014-01-26 00:00:00,24,Cabaret,US-NV-839
224,2014-02-02 00:00:00,0,Cabaret,US-NV-839
225,2014-02-09 00:00:00,16,Cabaret,US-NV-839
226,2014-02-16 00:00:00,16,Cabaret,US-NV-839
227,2014-02-23 00:00:00,0,Cabaret,US-NV-839
228,2014-03-02 00:00:00,16,Cabaret,US-NV-839
229,2014-03-09 00:00:00,31,Cabaret,US-NV-839
230,2014-03-16 00:00:00,63,Cabaret,US-NV-839
231,2014-03-23 00:00:00,31,Cabaret,US-NV-839
232,2014-03-30 00:00:00,15,Cabaret,US-NV-839
233,2014-04-06 00:00:00,30,Cabaret,US-NV-839
234,2014-04-13 00:00:00,24,Cabaret,US-NV-839
235,2014-04-20 00:00:00,31,Cabaret,US-NV-839
236,2014-04-27 00:00:00,15,Cabaret,US-NV-839
237,2014-05-04 00:00:00,15,Cabaret,US-NV-839
238,2014-05-11 00:00:00,16,Cabaret,US-NV-839
239,2014-05-18 00:00:00,17,Cabaret,US-NV-839
240,2014-05-25 00:00:00,46,Cabaret,US-NV-839
241,2014-06-01 00:00:00,27,Cabaret,US-NV-839
242,2014-06-08 00:00:00,18,Cabaret,US-NV-839
243,2014-06-15 00:00:00,46,Cabaret,US-NV-839
244,2014-06-22 00:00:00,36,Cabaret,US-NV-839
245,2014-06-29 00:00:00,29,Cabaret,US-NV-839
246,2014-07-06 00:00:00,18,Cabaret,US-NV-839
247,2014-07-13 00:00:00,25,Cabaret,US-NV-839
248,2014-07-20 00:00:00,25,Cabaret,US-NV-839
249,2014-07-27 00:00:00,17,Cabaret,US-NV-839
250,2014-08-03 00:00:00,27,Cabaret,US-NV-839
251,2014-08-10 00:00:00,50,Cabaret,US-NV-839
252,2014-08-17 00:00:00,16,Cabaret,US-NV-839
253,2014-08-24 00:00:00,26,Cabaret,US-NV-839
254,2014-08-31 00:00:00,16,Cabaret,US-NV-839
255,2014-09-07 00:00:00,16,Cabaret,US-NV-839
256,2014-09-14 00:00:00,16,Cabaret,US-NV-839
257,2014-09-21 00:00:00,16,Cabaret,US-NV-839
258,2014-09-28 00:00:00,48,Cabaret,US-NV-839
259,2014-10-05 00:00:00,19,Cabaret,US-NV-839
260,2014-10-12 00:00:00,41,Cabaret,US-NV-839
261,2014-10-19 00:00:00,21,Cabaret,US-NV-839
262,2014-10-26 00:00:00,32,Cabaret,US-NV-839
263,2014-11-02 00:00:00,21,Cabaret,US-NV-839
264,2014-11-09 00:00:00,21,Cabaret,US-NV-839
265,2014-11-16 00:00:00,21,Cabaret,US-NV-839
266,2014-11-23 00:00:00,21,Cabaret,US-NV-839
267,2014-11-30 00:00:00,20,Cabaret,US-NV-839
268,2014-12-07 00:00:00,20,Cabaret,US-NV-839
269,2014-12-14 00:00:00,42,Cabaret,US-NV-839
270,2014-12-21 00:00:00,0,Cabaret,US-NV-839
271,2014-12-28 00:00:00,21,Cabaret,US-NV-839
272,2015-01-04 00:00:00,40,Cabaret,US-NV-839
273,2015-01-11 00:00:00,20,Cabaret,US-NV-839
274,2015-01-18 00:00:00,0,Cabaret,US-NV-839
275,2015-01-25 00:00:00,0,Cabaret,US-NV-839
276,2015-02-01 00:00:00,20,Cabaret,US-NV-839
277,2015-02-08 00:00:00,40,Cabaret,US-NV-839
278,2015-02-15 00:00:00,20,Cabaret,US-NV-839
279,2015-02-22 00:00:00,20,Cabaret,US-NV-839
280,2015-03-01 00:00:00,20,Cabaret,US-NV-839
281,2015-03-08 00:00:00,20,Cabaret,US-NV-839
282,2015-03-15 00:00:00,40,Cabaret,US-NV-839
283,2015-03-22 00:00:00,22,Cabaret,US-NV-839
284,2015-03-29 00:00:00,0,Cabaret,US-NV-839
285,2015-04-05 00:00:00,41,Cabaret,US-NV-839
286,2015-04-12 00:00:00,20,Cabaret,US-NV-839
